"nodeTO","nodeFROM","nodeWEIGHT"
"raccoon","possum","1"
"raccoon","coyote","1"
"bear","cat","1"
"bear","dog","1"
"bear","snake","1"
"bear","tiger","1"
"bear","gazelle","1"
"bear","fox","1"
"bear","spider","1"
"bear","skunk","1"
"bear","sloth","1"
"bear","wolf","1"
"bear","panda","1"
"bear","leopard","1"
"bear","liger","1"
"bear","hedgehog","1"
"deer","cat","1"
"deer","dog","1"
"deer","monkey","1"
"deer","turtle","1"
"deer","moose","1"
"deer","eel","1"
"deer","elk","1"
"deer","badger","1"
"deer","catfish","1"
"rabit","racoon","1"
"rabit","squirrel","1"
"rabit","possum","1"
"zebra","cat","1"
"zebra","lion","1"
"zebra","tiger","1"
"zebra","snail","1"
"lion","cat","1"
"lion","dog","1"
"lion","elephant","1"
"lion","penguin","1"
"lion","raccoon","1"
"lion","zebra","1"
"lion","tiger","1"
"lion","snail","1"
"lion","racoon","1"
"lion","squirrel","1"
"lion","flamingo","1"
"lion","pigeon","1"
"lion","duck","1"
"lion","possum","1"
"lion","bat","1"
"lion","seal","1"
"lion","coyote","1"
"lion","iguana","1"
"lion","walrus","1"
"lion","chimpanzee","1"
"lion","goose","1"
"lion","swan","1"
"lion","ostrich","1"
"lion","girafe","1"
"tiger","cat","1"
"tiger","dog","1"
"tiger","bear","1"
"tiger","zebra","1"
"tiger","lion","1"
"tiger","snail","1"
"tiger","polar.bear","1"
"tiger","pigeon","1"
"tiger","sloth","1"
"tiger","duck","1"
"tiger","panda","1"
"tiger","leopard","1"
"tiger","liger","1"
"crow","racoon","1"
"crow","bee","1"
"crow","chimpanzee","1"
"crow","worm","1"
"crow","grasshopper","1"
"crow","hornet","1"
"gazelle","bear","1"
"gazelle","fox","1"
"gazelle","skunk","1"
"fox","dog","1"
"fox","bear","1"
"fox","gazelle","1"
"fox","skunk","1"
"fox","wolf","1"
"starfish","cat","1"
"starfish","chimp","1"
"starfish","ape","1"
"starfish","toad","1"
"starfish","ox","1"
"seahorse","jellyfish","1"
"seahorse","pelican","1"
"seahorse","oyster","1"
"horse","cat","1"
"horse","dog","1"
"horse","giraffe","1"
"horse","donkey","1"
"horse","cow","1"
"horse","bull","1"
"horse","frog","1"
"monkeys","lions","1"
"monkeys","giraffes","1"
"monkeys","elephants","1"
"ant","cat","1"
"ant","dog","1"
"ant","rat","1"
"ant","roach","1"
"ant","hog","1"
"ant","fly","1"
"ant","cheeta","1"
"jaguar","cat","1"
"jaguar","snake","1"
"jaguar","cheetah","1"
"jaguar","cougar","1"
"jaguar","mountain.lion","1"
"jaguar","panther","1"
"mice","bears","1"
"mice","elephants","1"
"mice","lizards","1"
"dolphin","cat","1"
"dolphin","shark","1"
"dolphin","kangaroo","1"
"dolphin","whale","1"
"dolphin","koala","1"
"kangaroo","cat","1"
"kangaroo","shark","1"
"kangaroo","dolphin","1"
"kangaroo","human","1"
"kangaroo","koala","1"
"kangaroo","seagull","1"
"snail","zebra","1"
"snail","lion","1"
"snail","tiger","1"
"snail","pigeon","1"
"racoon","cat","1"
"racoon","rabit","1"
"racoon","lion","1"
"racoon","crow","1"
"racoon","squirrel","1"
"racoon","possum","1"
"racoon","chimpanzee","1"
"racoon","salamander","1"
"racoon","lemur","1"
"racoon","grasshopper","1"
"moose","dog","1"
"moose","monkey","1"
"moose","deer","1"
"moose","elk","1"
"armadillo","possum","1"
"armadillo","chimpanzee","1"
"armadillo","anteater","1"
"armadillo","grasshopper","1"
"spider","cat","1"
"spider","snake","1"
"spider","bear","1"
"spider","dinosaur","1"
"spider","girrafe","1"
"skunk","bear","1"
"skunk","gazelle","1"
"skunk","fox","1"
"skunk","wolf","1"
"squirrel","cat","1"
"squirrel","elephant","1"
"squirrel","rabit","1"
"squirrel","lion","1"
"squirrel","racoon","1"
"squirrel","bunny","1"
"squirrel","possum","1"
"squirrel","salamander","1"
"squirrel","lemur","1"
"flamingo","elephant","1"
"flamingo","penguin","1"
"flamingo","lion","1"
"flamingo","iguana","1"
"polar.bear","dog","1"
"polar.bear","tiger","1"
"polar.bear","panda","1"
"parrot","dog","1"
"parrot","snake","1"
"parrot","lizard","1"
"parrot","butterfly","1"
"ferret","dog","1"
"ferret","fish","1"
"ferret","hamster","1"
"ferret","guinea.pig","1"
"ferret","chipmunk","1"
"bunny","cat","1"
"bunny","elephant","1"
"bunny","squirrel","1"
"lizard","dog","1"
"lizard","giraffe","1"
"lizard","snake","1"
"lizard","parrot","1"
"lizard","butterfly","1"
"roach","cat","1"
"roach","rat","1"
"roach","ant","1"
"butterfly","dog","1"
"butterfly","parrot","1"
"butterfly","lizard","1"
"eagle","dog","1"
"eagle","snake","1"
"eagle","hawk","1"
"eagle","wolf","1"
"eagle","cardinal","1"
"pigeon","lion","1"
"pigeon","tiger","1"
"pigeon","snail","1"
"bull","cow","1"
"bull","horse","1"
"bull","frog","1"
"panda.bear","elephant","1"
"panda.bear","snakes","1"
"panda.bear","lizards","1"
"koala.bear","dog","1"
"koala.bear","guinea.pig","1"
"koala.bear","lady.bug","1"
"octopus","rat","1"
"octopus","mouse","1"
"octopus","clown.fish","1"
"octopus","beaver","1"
"squid","squirell","1"
"squid","turkey","1"
"squid","crab","1"
"squid","quail","1"
"clown.fish","rat","1"
"clown.fish","octopus","1"
"clown.fish","beaver","1"
"hawk","dog","1"
"hawk","eagle","1"
"hawk","wolf","1"
"hawk","cardinal","1"
"falcon","shark","1"
"falcon","ladybug","1"
"falcon","seagull","1"
"sloth","cat","1"
"sloth","bear","1"
"sloth","tiger","1"
"sloth","liger","1"
"whale","cat","1"
"whale","shark","1"
"whale","fish","1"
"whale","dolphin","1"
"whale","camel","1"
"baboon","chimp","1"
"baboon","gorilla","1"
"baboon","cricket","1"
"chimp","cat","1"
"chimp","starfish","1"
"chimp","baboon","1"
"chimp","ape","1"
"chimp","gorilla","1"
"chimp","cricket","1"
"chimp","toad","1"
"ape","cat","1"
"ape","monkey","1"
"ape","starfish","1"
"ape","chimp","1"
"ape","gorilla","1"
"ape","toad","1"
"ape","ox","1"
"gorilla","cat","1"
"gorilla","monkey","1"
"gorilla","bird","1"
"gorilla","baboon","1"
"gorilla","chimp","1"
"gorilla","ape","1"
"gorilla","cricket","1"
"rabbit","dog","1"
"rabbit","monkey","1"
"rabbit","bird","1"
"rabbit","hare","1"
"rabbit","peacock","1"
"squirell","squid","1"
"squirell","turkey","1"
"squirell","quail","1"
"hamster","dog","1"
"hamster","bird","1"
"hamster","fish","1"
"hamster","ferret","1"
"hamster","guinea.pig","1"
"hamster","chinchilla","1"
"hamster","chipmunk","1"
"hamster","raven","1"
"hamster","lady.bug","1"
"guinea.pig","dog","1"
"guinea.pig","ferret","1"
"guinea.pig","koala.bear","1"
"guinea.pig","hamster","1"
"guinea.pig","chipmunk","1"
"guinea.pig","lady.bug","1"
"frog","cat","1"
"frog","cow","1"
"frog","horse","1"
"frog","bull","1"
"frog","rooster","1"
"duck","dog","1"
"duck","lion","1"
"duck","tiger","1"
"duck","goose","1"
"duck","swan","1"
"possum","raccoon","1"
"possum","rabit","1"
"possum","lion","1"
"possum","racoon","1"
"possum","armadillo","1"
"possum","squirrel","1"
"possum","coyote","1"
"possum","chimpanzee","1"
"possum","antelope","1"
"possum","anteater","1"
"possum","grasshopper","1"
"cheetah","cat","1"
"cheetah","giraffe","1"
"cheetah","snake","1"
"cheetah","jaguar","1"
"cheetah","mountain.lion","1"
"cheetah","oyster","1"
"cheetah","panther","1"
"cheetah","lobster","1"
"bee","crow","1"
"bee","worm","1"
"bee","grasshopper","1"
"bee","hornet","1"
"turkey","squid","1"
"turkey","squirell","1"
"turkey","crab","1"
"turkey","panther","1"
"turkey","lobster","1"
"turkey","hen","1"
"turkey","quail","1"
"human","shark","1"
"human","kangaroo","1"
"human","seagull","1"
"wolf","dog","1"
"wolf","snake","1"
"wolf","bear","1"
"wolf","fox","1"
"wolf","skunk","1"
"wolf","eagle","1"
"wolf","hawk","1"
"wolf","cardinal","1"
"bat","dog","1"
"bat","lion","1"
"bat","seal","1"
"bat","ostrich","1"
"hog","dog","1"
"hog","rat","1"
"hog","ant","1"
"hippo","dog","1"
"hippo","elephant","1"
"hippo","rhino","1"
"hippo","emu","1"
"hippo","robin","1"
"panda","dog","1"
"panda","bear","1"
"panda","tiger","1"
"panda","polar.bear","1"
"panda","leopard","1"
"panda","hedgehog","1"
"camel","shark","1"
"camel","fish","1"
"camel","whale","1"
"jellyfish","seahorse","1"
"jellyfish","crab","1"
"jellyfish","bug","1"
"jellyfish","pelican","1"
"jellyfish","oyster","1"
"jellyfish","panther","1"
"jellyfish","ants","1"
"jellyfish","lobster","1"
"jellyfish","lizzard","1"
"jellyfish","clam","1"
"alligator","cat","1"
"alligator","elephant","1"
"alligator","fish","1"
"alligator","crocodile","1"
"shrimp","platypus","1"
"shrimp","oyster","1"
"shrimp","clam","1"
"otter","dog","1"
"otter","rat","1"
"otter","mouse","1"
"otter","beaver","1"
"seal","dog","1"
"seal","penguin","1"
"seal","lion","1"
"seal","bat","1"
"seal","walrus","1"
"crab","squid","1"
"crab","turkey","1"
"crab","jellyfish","1"
"crab","gorrilla","1"
"crab","panther","1"
"crab","lobster","1"
"crab","hen","1"
"crab","quail","1"
"sheep","cat","1"
"sheep","cow","1"
